Iteration,ManagementArea,ActivatedDOValues,ActivatedDO,MatchedDO,MostImportantGoal,TotalNumberOfDO
1,1,"20,10","MM1-1_DO1,MM2-1_DO1","MM1-1_DO1,MM2-1_DO1",G2,2
2,1,"20,10","MM1-1_DO1,MM2-1_DO1","MM1-1_DO1,MM2-1_DO1",G2,2
3,1,"33.7777,92.7183","MM1-1_DO2,MM2-1_DO2","MM1-1_DO1,MM1-1_DO2,MM2-1_DO1,MM2-1_DO2",G1,4
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
3,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
4,1,13.16;7.6125,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
5,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
6,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
7,1,71.1274;74.6706,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
8,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
3,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
4,1,2.5956;2.4293,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
5,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
6,1,,,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
7,1,,,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
8,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
9,1,25.9664;14.2886,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
10,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
11,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
12,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
13,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
14,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
15,1,36.1017;44.7235,MM1-1_DO4;MM2-1_DO4,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
16,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
17,1,25.9664;14.2886,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
18,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
19,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G2,8
20,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
3,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
4,1,9.8213;8.5027,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
5,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
6,1,,,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
7,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
8,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
9,1,,,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
10,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
11,1,65.6152;79.3855,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
12,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
13,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
14,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
15,1,81.9808;55.8373,MM1-1_DO4;MM2-1_DO4,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
16,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
17,1,81.9808;55.8373,MM1-1_DO4;MM2-1_DO4,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
3,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
4,1,8.8187;9.244,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
5,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
6,1,,,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
7,1,,,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
8,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
9,1,,,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
10,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
11,1,49.8496;73.135,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
12,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
13,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
14,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
15,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
16,1,33.6031;47.2454,MM1-1_DO4;MM2-1_DO4,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
17,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
18,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G2,8
19,1,49.8496;73.135,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
20,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
3,1,37.4793;71.9288,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
4,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
5,1,,,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
6,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
7,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
8,1,,,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
